pt1_dltres,pt2_dltres,pt3_dltres
0.061964,0.667877,0.075223
0.057593,0.698572,0.063383
0.140671,0.792282,0.118003
0.308995,0.780627,0.099560
0.304624,0.790113,0.089905
0.342470,0.782439,0.066821
0.376639,0.782795,0.022240
0.382800,0.780730,0.183479
0.381994,0.782795,0.226244
0.298818,0.782439,0.175554
0.258666,0.774164,0.012850
0.264973,0.790113,0.099999
0.229893,0.792535,0.172754
0.294688,0.783650,0.007041
0.359487,0.782439,0.060830
0.350751,0.791324,0.245168
0.333279,0.793493,0.429203
0.313208,0.783650,0.527550
0.308840,0.775121,0.606414
0.295737,0.784964,0.655460
0.284401,0.790113,0.657370
0.259130,0.787944,0.536114
0.246027,0.791324,0.400937
0.152556,0.792282,0.469200
0.130718,0.790113,0.329060
0.121983,0.784964,0.398603
0.101913,0.788902,0.509889
0.080076,0.791324,0.387122
0.051272,0.781584,0.503461
0.025071,0.790113,0.610828
0.007604,0.790113,0.599229
0.008098,0.797430,0.518070
0.001914,0.791324,0.047952
0.028112,0.790113,0.039296
0.228920,0.797787,0.150642
0.328017,0.789258,0.196721
0.300259,0.782795,0.170592
0.378298,0.797430,0.063284
0.333790,0.798642,0.020847
0.346211,0.795262,0.075672
0.486525,0.791324,0.113247
0.453336,0.802936,0.128187
0.343919,0.795618,0.081558
0.194299,0.778561,0.126841
0.077755,0.697159,0.277838
0.215440,0.705688,0.351828
0.251367,0.513044,0.125144
0.228612,0.177306,0.035744
0.273357,0.178518,0.365001
0.307801,0.159560,0.008080
0.383882,0.193260,0.059380
0.463754,0.255242,0.092760
0.557846,0.243079,0.092760
0.490625,0.211114,0.276502
0.439082,0.218431,0.243123
0.447175,0.211114,0.069794
0.385272,0.223326,0.069794
0.197063,0.218431,0.043483
0.038375,0.202584,0.026236
0.227491,0.195267,0.034371
0.319396,0.217220,0.001594
0.376340,0.218431,0.036960
0.368395,0.220854,0.008708
0.446376,0.034212,0.145667
0.682861,0.206112,0.436883
0.731850,0.234278,0.634586
0.625249,0.213537,0.565169
0.561345,0.213537,0.785217
0.597454,0.211114,0.009983
0.554626,0.190372,0.136937
0.678262,0.266474,0.246436
0.572478,0.265263,0.253788
0.589143,0.233570,0.297180
0.547259,0.236680,0.389357
0.537097,0.229363,0.411759
0.609984,0.218411,0.004226
0.632281,0.225729,0.023223
0.701844,0.194035,0.309163
0.717562,0.195247,0.457452
0.846600,0.181823,0.316233
0.965550,0.153643,0.133923
0.888537,0.213740,0.003557
0.785328,0.161605,0.319646
0.852313,0.181659,0.264180
0.834235,0.177975,0.163214
0.831765,0.168344,0.271150
0.785450,0.150599,0.270325
0.608552,0.157916,0.340478
0.535999,0.244669,0.041444
0.544205,0.282170,0.070783
0.543540,0.201226,0.067512
0.609494,0.040959,0.059843
0.538325,0.049888,0.198948
0.525568,0.003459,0.287416
0.414175,0.049488,0.203408
0.314072,0.143854,0.114621
0.261800,0.198412,0.107475
0.132471,0.351537,0.178753
0.094650,0.017071,0.158305
0.123045,0.017071,0.202660
0.077925,0.329720,0.196684
0.046376,0.027499,0.424442
0.167461,0.027499,0.519025
0.144779,0.018532,0.569270
0.086825,0.242902,0.809923
0.075138,0.320216,0.854176
0.105008,0.274186,0.178039
0.121001,0.161270,0.358792
0.118629,0.109131,0.515622
0.108010,0.019835,0.515622
0.033549,0.388476,0.205062
0.020349,0.365690,0.134692
0.041404,0.467212,0.102503
0.038183,0.490464,0.087909
0.002310,0.685676,0.264244
0.050264,0.891315,0.047520
0.070758,0.891315,0.170640
0.128564,0.666147,0.089404
0.104458,0.704217,0.051416
0.041915,0.268088,0.289161
0.054208,0.384978,0.459886
0.307320,0.675190,0.724405
0.126082,0.311304,0.068503
